BreweryName,BeerName,BeerType,ABV,NumReviews,AvgReview
Kiuchi Brewery,Hitachino Nest Commemorative Ale,Belgian Strong Dark Ale,8.0,251,3.77
Baird Brewing Company / Fishmarket Taproom,Yabai-Yabai Strong Scotch Ale,Scotch Ale / Wee Heavy,7.2,18,3.77
"Sekinoichi-shuzou, Iwate-kura Brewery",Iwatekura Japanese Sansho Ale,Herb and Spice Beer,5.0,20,3.76
Kiuchi Brewery,Hitachino Nest Yuzu Saison,Belgian Saison,5.5,31,3.76
Baird Brewing Company / Fishmarket Taproom,Rising Sun Pale Ale,American Pale Ale (APA),5.1,166,3.76
Yo-Ho Brewing Company,Tokyo Black,American Porter,5.0,226,3.76
Kiuchi Brewery,Hitachino Nest Lager,American Amber / Red Lager,5.5,11,3.74
Tamamura Honten,Indian Summer Saison,Belgian Saison,7.0,12,3.74
Tamamura Honten,Shiga Kogen IPA,American IPA,6.0,42,3.75
A.J.I. Beer Inc,Minoh Beer Pale Ale,English Pale Ale,5.5,19,3.74
Nippon Beer Co. Ltd.,Kagua Blanc,Belgian Strong Pale Ale,8.0,28,3.74
Kiuchi Brewery,Hitachino Nest Weizen,German Hefeweizen,5.0,281,3.75
Baird Brewing Company / Fishmarket Taproom,Temple Garden Yuzu Ale,Fruit and Field Beer,6.5,21,3.72
Baird Brewing Company / Fishmarket Taproom,Numazu Lager,Vienna Lager,5.5,20,3.71
Nikenjayamochi Kadoya Honten Co. / Ise Kadoya Brewery,Ise Kadoya Genmai Ale,English Brown Ale,5.1,35,3.71
Kiuchi Brewery,Hitachino Nest Red Rice Ale,Belgian Strong Pale Ale,7.0,768,3.73
Baird Brewing Company / Fishmarket Taproom,Saison Sayuri,Belgian Saison,5.6,15,3.65
Baird Brewing Company / Fishmarket Taproom,Teikoku IPA,American IPA,5.8,63,3.71
Uehara Shuzou Co. Ltd. / Echigo Beer Pub,Echigo White,Belgian Witbier,NA,13,3.61
Nikenjayamochi Kadoya Honten Co. / Ise Kadoya Brewery,Ise Kadoya IPA,English India Pale Ale (IPA),7.0,24,3.66
Uehara Shuzou Co. Ltd. / Echigo Beer Pub,Echigo Stout,English Stout,7.0,165,3.71
Ginga Kogen Beer,Ginga Kogen Weizen,German Hefeweizen,5.0,88,3.7
Kankiku Brewery,Kujukuri Ocean Beer - Stout,American Stout,7.0,14,3.6
Yo-Ho Brewing Company,Suiyoubi No Neko,Belgian Witbier,4.5,118,3.7
Baird Brewing Company / Fishmarket Taproom,Shimaguni Stout,Irish Dry Stout,4.6,36,3.66
Land Beer,Kinshachi Nagoya Red Miso Lager,Japanese Happoshu,6.0,12,3.55
Nikenjayamochi Kadoya Honten Co. / Ise Kadoya Brewery,Isekadoya Pale Ale,American Pale Ale (APA),5.1,12,3.54
"Ryujin Shuzo Co,. Ltd.",Ozeno Yukidoke White Weizen,Belgian Witbier,5.0,16,3.57
Niigata Beer Co.,Niigata Beer,Belgian Pale Ale,5.0,12,3.52
Ezo Beer KK,Buckwheat Ale,Fruit and Field Beer,2.9,14,3.54
Baird Brewing Company / Fishmarket Taproom,Wabi-Sabi IPA,American IPA,6.0,14,3.54
Suntory,The Premium Malt's (Kuro),German Schwarzbier,5.5,19,3.58
Ezo Beer KK,White Crane Ale (Rogue's Oregon Golden Ale),American Amber / Red Ale,5.0,27,3.6
Baird Brewing Company / Fishmarket Taproom,Wabi-Sabi Japan Pale Ale,Herb and Spice Beer,6.0,36,3.62
Niigata Beer Co.,Golden Kölsch,German Kölsch,8.0,11,3.46
Ginga Kogen Beer,Pale Ale,English Pale Ale,5.0,22,3.57
Baird Brewing Company / Fishmarket Taproom,Jubilation Ale,Winter Warmer,7.0,76,3.65
Kiuchi Brewery,Hitachino Nest Pale Ale,English Pale Ale,5.0,63,3.64
Kiuchi Brewery,Hitachino Nest Dai Dai Ale,American IPA,6.2,168,3.66
Uehara Shuzou Co. Ltd. / Echigo Beer Pub,Flying IPA,American IPA,5.5,20,3.53
Sapporo Breweries Ltd.,Sapporo Premium Black Beer,European Dark Lager,5.0,70,3.63
Tamamura Honten,Shiga Kogen Porter,American Porter,5.5,11,3.38
Kiuchi Brewery,Hitachino Nest Real Ginger Ale,Herb and Spice Beer,8.0,519,3.66
Yo-Ho Brewing Company,Sorry Umami IPA,American IPA,6.5,19,3.49
Kankiku Brewery,Kujukuri Ocean Beer - Pale Ale,American Pale Ale (APA),5.0,11,3.31
Coedo Brewery (Kyodo Shoji Koedo Brewery),Coedo Shikkoku,German Schwarzbier,5.0,71,3.59
Coedo Brewery (Kyodo Shoji Koedo Brewery),Coedo Shiro,German Hefeweizen,5.5,65,3.57
Sapporo Breweries Ltd.,Yebisu Silk Yebisu,German Pilsner,5.5,23,3.44
Yo-Ho Brewing Company,Organic Beer Shinshu Sansan,Japanese Rice Lager,5.0,16,3.35
Coedo Brewery (Kyodo Shoji Koedo Brewery),Coedo Kyara,American Lager,5.5,78,3.56
Sapporo Breweries Ltd.,Yebisu Creamy Top Stout,German Schwarzbier,5.0,25,3.43
Asahi Breweries Ltd,Prime Time,German Pilsner,5.5,12,3.22
Sapporo Breweries Ltd.,Yebisu Black Beer,European Dark Lager,5.0,70,3.54
Denen Plaza Kawaba Brewery,Snow Weizen,German Weizenbock,5.0,41,3.48
Suntory,The Premium Malt's Master's Dream,Bohemian Pilsener,5.0,16,3.28
